	16S_1	16S_106	16S_107	16S_108	16S_109	16S_110	16S_111	16S_112	16S_113	16S_114	16S_115	16S_116	16S_118	16S_119	16S_120	16S_13	16S_130	16S_131	16S_132	16S_142	16S_143	16S_15	16S_154	16S_155	16S_16	16S_166	16S_17	16S_177	16S_178	16S_18	16S_180	16S_189	16S_19	16S_190	16S_2	16S_20	16S_25	16S_26	16S_27	16S_28	16S_29	16S_3	16S_30	16S_31	16S_32	16S_33	16S_38	16S_39	16S_4	16S_41	16S_42	16S_43	16S_44	16S_45	16S_5	16S_57	16S_6	16S_61	16S_62	16S_63	16S_64	16S_65	16S_66	16S_67	16S_68	16S_69	16S_7	16S_74	16S_75	16S_76	16S_77	16S_78	16S_79	16S_80	16S_81	16S_93	inv_soil_10	inv_soil_11	inv_soil_12	inv_soil_13	inv_soil_207	inv_soil_217	inv_soil_37	inv_soil_38	inv_soil_40	nat_soil_F13	nat_soil_F15	nat_soil_F20	nat_soil_F21	nat_soil_F23	nat_soil_F25
16S_1	0.0	0.5219662301654798	0.6830323590443029	0.5651540850014173	0.6987560271986293	0.5743727004813969	0.5930336167442584	0.6770678171136697	0.6273935050184727	0.7648973159313738	0.4966134682796835	0.5184887937687728	0.5605852115010865	0.599149517305606	0.5698015424657772	0.8324540241482061	0.6917109929774676	0.6034045516059392	0.5517570467852835	0.6809142002041225	0.5905900254025963	0.6086863788093562	0.580997854368924	0.5258025113327565	0.7642729284531938	0.5455580714045014	0.8495051097798002	0.5773028994652214	0.5411673114109881	0.7479278811013207	0.6364450632003777	0.5360438152295747	0.7928949774782317	0.6100682943475358	0.4706844900092023	0.6852834119606129	0.46875844161269	0.5455460540694412	0.6549576863552458	0.5509629610094832	0.6723397861555618	0.658430881812802	0.7976434352167996	0.8580251107804306	0.7306252499896612	0.7649151029013038	0.6719857731353995	0.7218785616037853	0.6594709072933208	0.5984966709812569	0.7973987815895833	0.7379439034829468	0.7275879729395307	0.5560945550871045	0.7085238101971784	0.5896916720441483	0.624716392530161	0.8684538260165738	0.8356855195386073	0.7677033675990176	0.7099892572813027	0.8249208014302242	0.7308664072814727	0.6872169011249766	0.8200069050708932	0.5381227317646249	0.6593345473514006	0.48453898850753213	0.7819319085366675	0.5189718715698441	0.6020921842916225	0.7638747194160589	0.5816820129623594	0.570234745615565	0.6033534433451188	0.5437359796748772	0.6267003695718166	0.638620957654024	0.6828445215357036	0.6584592443660059	0.6772187733188271	0.6931032034238801	0.6912068019379911	0.7845770736404232	0.6785899777156567	0.6684548920665728	0.6692570500794607	0.6908067864945826	0.6952372210274723	0.8545405901807743	0.7622264688410266
16S_106	0.5219662301654798	0.0	0.6160445222298062	0.5940260073631074	0.6859485463265523	0.4858144806288367	0.4550254354627912	0.6638319136991208	0.6652899075416753	0.7204090336284995	0.5399112004810029	0.5451102430947539	0.6005227935625496	0.551212742738247	0.6342992774995145	0.7942982757297825	0.7004404420946535	0.48908029213241827	0.6238779810971208	0.6954171761644415	0.6210103380763256	0.561548466095885	0.5795034268569069	0.5154636893893997	0.699217325658233	0.4681348058007731	0.8042908718214804	0.6103928076979929	0.45477819589199686	0.6872543311423382	0.5424544188753075	0.4588982417052088	0.769250084365492	0.604899821371798	0.47715276794612865	0.6419189762249393	0.5980477626764601	0.5332013844267872	0.5704650895978255	0.5596024912947527	0.5638646765615128	0.6875936437807091	0.7358400085155262	0.818183305101241	0.6962256445792483	0.7223710718531193	0.6371755310951667	0.6358014033261259	0.6466117865779388	0.47111933294636266	0.7598700742277604	0.6717875662293762	0.6799795281239552	0.6014153411873508	0.6838242978563143	0.6264638890240212	0.5285455785467358	0.8273816267980979	0.7888961418156452	0.7079159961355623	0.6563330060406132	0.7945810583544225	0.6905270483845167	0.6470746039929787	0.7655448694157841	0.6185599384583798	0.6083783503201597	0.5806806035778928	0.7361385653679439	0.5570422049140712	0.6201361629501532	0.7058483064045827	0.6281017012622178	0.5006518457041773	0.6186235158988951	0.6323538391078765	0.5977055140423064	0.6358892371717676	0.6600690865533844	0.6284678164345567	0.6491558163710859	0.5992099475847817	0.6586535059895039	0.7206749657893425	0.6499193670169491	0.5994771647475947	0.6290146552503901	0.6334669470729349	0.6301578515110826	0.8086756001122927	0.7167873548877817
16S_107	0.6830323590443029	0.6160445222298062	0.0	0.7150021652723424	0.7213992528978623	0.5304885153607631	0.5282756093635972	0.6822862915245146	0.7630405839790593	0.6458992005360821	0.642827653229493	0.6511141028784972	0.7243648864801955	0.45707815275054614	0.7520624693132004	0.616755955644158	0.7342812288282377	0.5422578215094876	0.7545385996851699	0.7523701487542044	0.701872269560778	0.532139665319336	0.6869175342417358	0.5893656808954132	0.6302254326723442	0.5052288451077731	0.6917452106048757	0.70991639760001	0.5858736182082355	0.7002472642881172	0.4764159396849543	0.6065904499192089	0.640120512438348	0.6881717388845107	0.6379134104682298	0.6354081783708256	0.7335955956959664	0.5881469692804383	0.5721180447055391	0.6266289442301551	0.5302427788638402	0.7485782900949286	0.6424095145119734	0.6920175157375816	0.6375227814411993	0.6071946589748101	0.6640128373277111	0.5826138628246912	0.6814176000126327	0.5052831127051732	0.5978073822522495	0.5515600395846317	0.6705874679113546	0.7346242913846691	0.63286670566132	0.7175696710641661	0.5175189316564968	0.7123777695622421	0.7215434309894375	0.6710523865125464	0.6613891228461691	0.6500482523260455	0.6335945110391398	0.6972266776906472	0.6487431730394705	0.7050004287088772	0.5949465009812718	0.6703009553822139	0.6219600803127799	0.6582837520604291	0.6062223814965824	0.6166498993025405	0.7014769623158542	0.5764316382312382	0.6985297648141545	0.7440377584478861	0.6302246744664347	0.6962411936632675	0.6914342211926923	0.6580917078315607	0.6677294036707772	0.46829619298150954	0.689285577717771	0.6617283793679312	0.6287535985231288	0.5762329349040684	0.6615035580826911	0.6287867775385138	0.6437514092851018	0.6767600548593532	0.6309527779464353
16S_108	0.5651540850014173	0.5940260073631074	0.7150021652723424	0.0	0.7144521753883639	0.6382958276105436	0.6443464914469741	0.6817762481956008	0.6014556015343099	0.7546045005922012	0.5945030978873072	0.5708918458136284	0.560266748520947	0.6688601866221228	0.4633140253811378	0.8539725101638695	0.7189890858909493	0.6549336378062766	0.46862987609411655	0.7098372469728347	0.5771171983750067	0.6408990052184604	0.5601054419808428	0.6237042072579955	0.7529474536267197	0.6227513672734083	0.8376932945123678	0.5855948778438621	0.6423613727098837	0.7115523697905395	0.7019854974453021	0.61297760349747	0.7949044741671781	0.5610764764035506	0.5671723434992798	0.6582118828106859	0.5807905948769229	0.6392144664592015	0.6649539258889225	0.6056925050576902	0.6918051794613258	0.6857391183667314	0.7922713109674608	0.8467761543980579	0.6814486187168852	0.759902781491337	0.6315128721977682	0.7288304044972389	0.6506598559205065	0.6427885183182935	0.8016613600295016	0.7594334118244805	0.7224321084978671	0.5660118714087224	0.7451032191207083	0.5666581807433582	0.6746874510198667	0.8652536452588995	0.8306011525170377	0.7188675632288972	0.6867212586168516	0.8213697854826477	0.7012718134924054	0.6059083287807621	0.8173711148356465	0.6038936356689508	0.7069852242744068	0.5656509613499695	0.7803730885499746	0.528936899623217	0.6228988126173571	0.7602679025304651	0.5931517250346837	0.6079361548424407	0.6256781677959163	0.576030761629934	0.659634425470557	0.6432736605949312	0.6929471916891821	0.6837628655946212	0.6947563368850966	0.7279518113730037	0.7177515772662052	0.7790013084924893	0.6937276135494901	0.6539468333904077	0.6229458928652138	0.6947130605776944	0.6743760908300206	0.8558360337881947	0.745199771205463
16S_109	0.6987560271986293	0.6859485463265523	0.7213992528978623	0.7144521753883639	0.0	0.6608547200080039	0.6903449200075853	0.48676139032200827	0.733031855154746	0.6649802437458905	0.7259155834043378	0.701199480583987	0.6891170300667727	0.6670526528304759	0.7256351975026631	0.8498964672837312	0.4302904549452535	0.6720479941668607	0.7337322665191858	0.49716157155093915	0.6688228334680592	0.6676235433468233	0.6638490975053533	0.651658746085281	0.7752676824978516	0.6728730173112569	0.8558102483221413	0.6851203388266622	0.6841726634071635	0.7283516444957179	0.6947454960199625	0.6762550074560422	0.788177743009634	0.6611060300819763	0.7000882317926226	0.6951536331474787	0.74200964277275	0.7114463150496044	0.712754105765801	0.7153191065187006	0.7141394154494237	0.5888972666142067	0.7927039489789425	0.8577110965647965	0.7692938521791509	0.7675861253728218	0.7118502165514796	0.737136959931398	0.5691929269294541	0.6710518123681889	0.7393320356711944	0.7252741303748701	0.6580657767224037	0.6904011198652665	0.629548366187754	0.6862883523982949	0.6825880834462822	0.8611206017437313	0.8258276917963155	0.7868015686336506	0.745500572786959	0.8196371024288601	0.7598691994502395	0.7283697157073904	0.8120131945486849	0.692184786648949	0.7387447874180769	0.6951058225685297	0.7756544250730429	0.6726162868988439	0.6730772244968443	0.7691388508536703	0.6859710905835398	0.6781459264322458	0.5793452487994124	0.7226817606846824	0.5768655377169362	0.607577262186286	0.603184152705724	0.5887822963281502	0.5123847956170261	0.7010038489372208	0.5416260608413666	0.6363719982916268	0.7114764803023922	0.6931161636849712	0.7054003956964146	0.7086393617693043	0.6891222967523258	0.8380189148951456	0.7463172295678305
16S_110	0.5743727004813969	0.4858144806288367	0.5304885153607631	0.6382958276105436	0.6608547200080039	0.0	0.5100641166388284	0.6204621694100918	0.6811992847231613	0.6933824683612625	0.5726903846934343	0.5850113389437839	0.623358324719628	0.49223225731675463	0.6624891975102866	0.7473650709179362	0.6671314013076348	0.4689842313594971	0.6575345803425451	0.6804000409596089	0.6411613878934798	0.5664462672164793	0.5993779491203385	0.4679470454805983	0.686488340180238	0.44201606556714584	0.7980240383504595	0.647268764231455	0.46730347032884806	0.7254634658356517	0.45332295541656364	0.5018104878863929	0.6933647336135025	0.6250384136914966	0.5082089766771017	0.6176094438150908	0.6405840907732824	0.5158126566866301	0.560894609207902	0.5876291623940315	0.5485560794724372	0.6645704646576446	0.6965693747780572	0.8065357410304315	0.6895707785779357	0.6934950967704422	0.6143282760792926	0.5814085791638447	0.5894704391470696	0.39937337602818096	0.6759922916352316	0.6044133318932466	0.6845158953413564	0.6287495062215912	0.640430906300941	0.6449163138044549	0.5047002335337253	0.8152919609171262	0.7580515604875837	0.7080076818928834	0.6309921723007182	0.7620719243739666	0.688164414620814	0.6636672529761934	0.7456005561243629	0.6104664082743249	0.5730315560839484	0.5868592203893443	0.6801557968551769	0.5740057197925161	0.5420656682334403	0.7041866501962782	0.6305567840757226	0.5141055754356466	0.6276596004376188	0.6587810907422974	0.5485368005099484	0.5954673521410843	0.6235688003595823	0.5717679866202757	0.6005651643810125	0.5383218103637737	0.6284232635982342	0.6713197785894948	0.6115133120511473	0.5710527007238825	0.636165337243245	0.5935530915657852	0.6141904998086816	0.7822794783101329	0.6999515074479961
16S_111	0.5930336167442584	0.4550254354627912	0.5282756093635972	0.6443464914469741	0.6903449200075853	0.5100641166388284	0.0	0.6570682581661407	0.6929781654528095	0.6842463740041246	0.5573546598567972	0.5667909294156661	0.6359106826311731	0.5188932056900205	0.6619678298014214	0.7517568915615764	0.7024409375134091	0.4354549324622628	0.6735850574896063	0.7060691029219176	0.641972635266201	0.4684482099792164	0.6139014975256228	0.517974666169243	0.700392494265861	0.46496318649425833	0.7599626672657336	0.6356299366113252	0.5030530475629788	0.6814710806983948	0.47120028040257445	0.4671499863807992	0.7347836528914428	0.6049779374875692	0.5109610840802278	0.6078528491393052	0.6499028363420166	0.5166537455904379	0.5119628807829248	0.5357584563596914	0.5022305769825379	0.7136953693072223	0.6803625497575827	0.7834120182182749	0.6440497533355748	0.6706359162914278	0.6438599763856736	0.5954806916379815	0.636561230031846	0.4432436169003272	0.7232379106494553	0.6064329483746362	0.6334289185485997	0.6465631242642733	0.6549199649486828	0.6564580641053639	0.45259035938427067	0.7985874883762075	0.7668513437144329	0.6913095327385382	0.6372003739003013	0.7516907718437319	0.6470271890308519	0.6453026372538195	0.7130100933377139	0.6485218718906615	0.6144121687399725	0.6001376354409583	0.685082541915799	0.5615432807733498	0.6154285927024531	0.6671956736367094	0.6344942027795066	0.5072061898976672	0.6363205062195364	0.6687799330792339	0.5849909982982189	0.6559979029434061	0.6592062199038952	0.6204943305543379	0.650443895821437	0.5461425980500816	0.6448989121982298	0.7054420187863986	0.6114646716670282	0.5711049693920588	0.6272482052701738	0.5773753339619511	0.6040036635821953	0.766167033067595	0.6916272715473882
16S_112	0.6770678171136697	0.6638319136991208	0.6822862915245146	0.6817762481956008	0.48676139032200827	0.6204621694100918	0.6570682581661407	0.0	0.7187042779381583	0.6403146762248163	0.6886628005237385	0.6798037549748454	0.675422035229797	0.6116864719348013	0.7091275569622935	0.8175743672864253	0.47813945385759127	0.6491955687667433	0.7045298610756733	0.5224364246401958	0.6580689901891723	0.6461822717784659	0.6428507401010521	0.6067180002560348	0.7089716086369215	0.6318363221869583	0.7945308537500475	0.6604104698475953	0.6325176567632274	0.7091298465941124	0.6546462609166231	0.6264337524866554	0.7328111090878238	0.6185192601986399	0.673801017911056	0.6449607913747185	0.7288619538851058	0.6563828606770756	0.6748280457444349	0.688240742800968	0.6850177279935593	0.5653464661720344	0.7469551335188247	0.8191986947828626	0.7004207079490462	0.7222344712089207	0.647021773283393	0.7061308303438468	0.5006286073362716	0.6267799199565196	0.6739759082287582	0.6783092801375933	0.6212473040999644	0.6798628640755456	0.62464567009592	0.6725350270652202	0.6471525540892559	0.8301729000436375	0.7844183731134252	0.7266231945392231	0.6639348730951017	0.7622670033455451	0.6983153172483698	0.6558603634013264	0.7498082274292464	0.684194839175041	0.698506919129939	0.6841787809017071	0.7367415570052527	0.6636621306026343	0.6462561490995524	0.7303390271726604	0.6706232519432659	0.622152339152316	0.5522295526287688	0.7141250361370503	0.5413121114422509	0.5595113897285031	0.5696947271282876	0.556655871870266	0.46199131483980405	0.6517167500272549	0.43211405210551107	0.6269033714624688	0.6880928333324497	0.6314040350434568	0.6387925515834127	0.6775117658926244	0.6548997474804343	0.8063623620630724	0.7188584363734097
16S_113	0.6273935050184727	0.6652899075416753	0.7630405839790593	0.6014556015343099	0.733031855154746	0.6811992847231613	0.6929781654528095	0.7187042779381583	0.0	0.7942239964520638	0.6223027831300424	0.6100601532208438	0.536203057339726	0.7100560184618772	0.5879508655264474	0.872671771868121	0.7322724775775414	0.681027632848211	0.5816693970034621	0.7254281678182734	0.5258218970489608	0.6615594343776036	0.552975427375155	0.6477732841324567	0.8097579442097	0.6887991810029381	0.8590957393765106	0.5191734607442594	0.6985192241554209	0.7651186429723076	0.7383252800090956	0.6700002946035977	0.8324084248112084	0.5458295433465216	0.6521481767369594	0.7372687673689353	0.6008213558002721	0.689561457892735	0.7419142512889482	0.6777674482943218	0.7495040215957862	0.6552344141824304	0.8186697895066036	0.8715959414091989	0.7576729950702754	0.7776692913064605	0.7291334696358516	0.7363275250040007	0.6865215587279031	0.7039171242680144	0.8183066376236618	0.7838956199298215	0.738767591913213	0.5446950198237628	0.7504577018341037	0.5108935999288152	0.7316383167032147	0.8863416389782736	0.8534743268039438	0.7761701186605808	0.7305889430413117	0.8522851030276041	0.7373561356728642	0.6837716592396019	0.8324280216968002	0.5667631730739475	0.7545273866655404	0.6079944144981265	0.8050139460933108	0.6258165232606503	0.6330168636703468	0.7696633128451909	0.5606651790912146	0.6575857112089802	0.6615174774563226	0.6075488366189662	0.6920178398554605	0.6600859592986046	0.7198699444604153	0.6950738727432876	0.7270978042245541	0.7743790066997038	0.7295309669232156	0.7840169004651253	0.7472355547053132	0.7194623255150933	0.6954983652716485	0.7327582772147287	0.7081059747415981	0.8724224615040483	0.7592077035207022
16S_114	0.7648973159313738	0.7204090336284995	0.6458992005360821	0.7546045005922012	0.6649802437458905	0.6933824683612625	0.6842463740041246	0.6403146762248163	0.7942239964520638	0.0	0.7414853465371706	0.7400478429635633	0.7323628540739223	0.6242277038552793	0.7773350063177921	0.7207487854827992	0.6809024340604228	0.6759513561006404	0.7835028940244283	0.6999434714962128	0.7165412170156464	0.6149123992878276	0.7216142327572116	0.6981063068273279	0.6103494532747373	0.6797554117649721	0.7299198365200036	0.7430938290764714	0.7060468106776269	0.5694460651855624	0.6600465542830314	0.7285894487186507	0.661175205117221	0.6656108664744552	0.7193047794915568	0.5467806519461043	0.8046075227389459	0.6853492887570629	0.6551670520402024	0.7267753524603087	0.6577675206195592	0.6851400673863379	0.7097262344323756	0.7347015989945692	0.6234115421758778	0.641500954607676	0.6340575845244006	0.6731096523206322	0.5731193898936026	0.6506314393515752	0.6028920769765753	0.6287288639648272	0.5419028489983568	0.7728661208821619	0.5950100068240586	0.7320093826374955	0.642169154976247	0.7265323574828089	0.642896337086987	0.6042341609254452	0.6774171093724347	0.6511996957007588	0.6384208855976138	0.6765010997798643	0.6336173444552993	0.7652998735623813	0.6850149302631671	0.7495841800517752	0.6699820362267662	0.7399584203328913	0.6676314912020533	0.6561942683065372	0.7137307582794253	0.6756061488021073	0.6825593957713588	0.7962882237097144	0.6223065821014819	0.6933477435564708	0.6390186099868408	0.6016344302480912	0.5956503067850545	0.5998196131920791	0.6482078992453708	0.5484303842347716	0.6623997975766021	0.6212412925149103	0.6138673617266615	0.6474854749009893	0.6207163343736437	0.7006288868896062	0.6146971223974308
