	16S_1	16S_106	16S_107	16S_108	16S_109	16S_110	16S_111	16S_112	16S_113	16S_114	16S_115	16S_116	16S_118	16S_119	16S_120	16S_13	16S_130	16S_131	16S_132	16S_142	16S_143	16S_15	16S_154	16S_155	16S_16	16S_166	16S_17	16S_177	16S_178	16S_18	16S_180	16S_189	16S_19	16S_190	16S_2	16S_20	16S_25	16S_26	16S_27	16S_28	16S_29	16S_3	16S_30	16S_31	16S_32	16S_33	16S_38	16S_39	16S_4	16S_41	16S_42	16S_43	16S_44	16S_45	16S_5	16S_57	16S_6	16S_61	16S_62	16S_63	16S_64	16S_65	16S_66	16S_67	16S_68	16S_69	16S_7	16S_74	16S_75	16S_76	16S_77	16S_78	16S_79	16S_80	16S_81	16S_93	inv_soil_10	inv_soil_11	inv_soil_12	inv_soil_13	inv_soil_207	inv_soil_217	inv_soil_37	inv_soil_38	inv_soil_40	nat_soil_F13	nat_soil_F15	nat_soil_F20	nat_soil_F21	nat_soil_F23	nat_soil_F25
16S_1	0.0	0.22634550798383138	0.2550267703081796	0.20938628243280777	0.2707334056050413	0.210144950342989	0.22583324935976426	0.27213957678572026	0.27012967881746186	0.3291132982011618	0.25457595689941404	0.21723013091004148	0.27101444098850236	0.21016037680618302	0.25129964160687773	0.3129760574806898	0.3092109262145617	0.23117225486216741	0.24793187268176486	0.2944758554370993	0.2674746513679821	0.20364015382045556	0.23603022149193054	0.18161291970260285	0.3157841175516915	0.2208279913733381	0.3745038524484132	0.22875608527331556	0.189189231371609	0.34103719897517715	0.2672849023843909	0.23510613511878944	0.39150678304900116	0.26626134050287054	0.12301971949559856	0.3125745767216921	0.2444258944809789	0.21938589618142423	0.2291833480837413	0.1864846061053554	0.2121122636177407	0.2785338132046069	0.27051051649473484	0.40487526347378894	0.3391929155539375	0.29936334453609537	0.305223730036697	0.33533485418625014	0.3012254971849	0.24875891220204696	0.31884926901811256	0.2613816165787055	0.28977553607703493	0.2202828211748069	0.2990832735654346	0.23563742447535646	0.24047388901425293	0.4012205060757653	0.38326382814208043	0.34882577957894656	0.3294354734399431	0.3421054942685193	0.31766914823942055	0.32278758290728654	0.35744881831056285	0.21094967021265953	0.23416730737648558	0.18423681643571432	0.2815081112163857	0.1963018820198195	0.2428941129731383	0.27128752454424193	0.24346435629609064	0.21394888288351607	0.2429210227826672	0.26395160178774507	0.2798237831159235	0.28110119617398466	0.2965296531490769	0.28621009645349094	0.27274521957542325	0.27681212485374934	0.29755120631096393	0.3797239918769015	0.28698608463885816	0.2775545181228219	0.296824720163238	0.19672104063751591	0.31658756706762975	0.3304346826144786	0.30736898360284737
16S_106	0.22634550798383138	0.0	0.1922956447205176	0.24889562195390003	0.27853312519777895	0.1670381370470352	0.17761372612657775	0.30051594304457796	0.25403155961828255	0.330438361178743	0.29369548622197017	0.2779031040451911	0.25180984485752245	0.18793776632649892	0.2818133920452328	0.34842519327063187	0.31886637038091076	0.14447921198146618	0.2723865452390204	0.30931085781004475	0.23783373611068206	0.24486615766998082	0.2193237347411664	0.15717170837779837	0.32480094936973414	0.1469156498042602	0.39664843438800057	0.2509961900850481	0.15134566471338012	0.37823597048572444	0.1880979000365024	0.13642114591285148	0.4114035488542363	0.24907400272852598	0.21976505495273163	0.3452247531082262	0.26763058060128225	0.22501319750608195	0.22471736617084304	0.2339811543569549	0.22337891052966447	0.31684461065168174	0.3123015824238964	0.43822007965437126	0.3719291476910687	0.2841106953838715	0.3255295593513386	0.2607777673334422	0.33267546884157745	0.17176711017995397	0.2940627214359623	0.2573782002770298	0.3005821190960785	0.2277701535825995	0.30918569454878503	0.2460600854727598	0.20881284589312843	0.4375895418543426	0.4143278054976733	0.3595627152930848	0.35842169107631094	0.37493430628242397	0.34907516939539324	0.3694949461067416	0.3740742580159444	0.22599162522078953	0.28289027872297495	0.2677706610670127	0.317582014470592	0.2656420632071771	0.25320107795362673	0.2676872874486803	0.2407053132353757	0.20394017506546405	0.2884617000440829	0.3059640198970132	0.30772428015193637	0.2730787977508633	0.32960134846956424	0.322828767616399	0.26158261585769954	0.25451084923552475	0.3136773748109518	0.3306757524281074	0.2746804045538505	0.2969222346394579	0.3367443549745502	0.2698808251343494	0.34206599017347994	0.34854064299681436	0.34293487694540953
16S_107	0.2550267703081796	0.1922956447205176	0.0	0.2951848767315499	0.3154520075731442	0.18627242724019888	0.18015684351485103	0.34878520692711285	0.3119182337749234	0.3210544915960201	0.3233018876548876	0.30609998863939136	0.32788190665677486	0.14692238064764573	0.32937999837950277	0.2595109279793814	0.36510390198695897	0.15410317784907954	0.33654425099446544	0.3728328088364539	0.30212984664941517	0.2206536296788061	0.28280632585822146	0.19272460875195283	0.321211554100003	0.1540911288157097	0.35946809643565275	0.3108448808667608	0.16166107970530721	0.3589219387715696	0.16916479237566553	0.17932993009583165	0.3831716277635484	0.3006103994329327	0.24780646567608008	0.3483952945989235	0.3295628757864766	0.22762808779249014	0.2293272132813583	0.2499314083030151	0.20972175178371255	0.35568512896343646	0.2672656468859809	0.3893224224145675	0.35534485982009184	0.2702238193083056	0.331007146001983	0.2808306468076927	0.3684151606296173	0.16814209592492868	0.25446239441872404	0.2196194438936456	0.31919938009240456	0.3013388467489355	0.31602402768797755	0.3079458692671445	0.17261213702864986	0.4037729617907462	0.38839791854591277	0.3531355332984575	0.36253571554282044	0.33191933094415627	0.3356882963050196	0.3709148512507105	0.34993663573377715	0.2799163704156961	0.2921693120047327	0.3144603273483551	0.2578667581640041	0.31965254220815453	0.26859162781998885	0.2590778394631167	0.2963630572446234	0.20299891419662536	0.32647381654289864	0.3599136780001865	0.3396687873852875	0.3103076952100868	0.35085512118708134	0.3529353576502234	0.31100338607756595	0.23568315935065767	0.3669201532958125	0.3513965966445355	0.3057373950804423	0.2800464553781018	0.3222411739473879	0.27974792855765046	0.3421528350310635	0.2806948518225032	0.3141611221421842
16S_108	0.20938628243280777	0.24889562195390003	0.2951848767315499	0.0	0.2759046418257933	0.2804227187296824	0.27248423465094235	0.2636581114923801	0.22255225372107965	0.31572029464491125	0.2891780526757915	0.26408727392699166	0.22582583863384725	0.24620503774072147	0.16556756752185092	0.3583314022065831	0.3062557797842749	0.2834325802382155	0.15724498980478702	0.29272568866365123	0.23216173701659318	0.2201913379733036	0.21137078950772115	0.23269088279842418	0.2801196208059721	0.26456417613636557	0.3513444523562889	0.2034067649225807	0.26811941806834716	0.29327907162013084	0.31756216679220517	0.2735088099258671	0.3561673291317772	0.21149606462444792	0.21651147749979102	0.2638780208848284	0.2556602798295745	0.26797093423702806	0.2656615621099961	0.24255534866184275	0.24842866005119352	0.26178547287230125	0.31152074283878706	0.3915558910014785	0.28898023087264724	0.2933033517624491	0.26398507864102283	0.3397339635112482	0.28154314583494405	0.28610475241487954	0.3196906859200236	0.2956596994177324	0.2883643519929544	0.2086533856845119	0.27422897995001355	0.21292571198026178	0.2751260753261057	0.40696407775822646	0.3567603985872672	0.2983395338063015	0.30071433261797575	0.3185304700394694	0.28124838926900153	0.27174604858818013	0.3212788103514427	0.22208066229827686	0.25352718015481834	0.2184923526101708	0.3129152864807224	0.2195657723540667	0.2351252157233703	0.2641939938145975	0.21364473572602266	0.22105284947493065	0.23305539363636674	0.24909814536575606	0.27739070559924156	0.2706134062325414	0.2670773737282455	0.2793079366846852	0.272241187744544	0.32237497695907724	0.291333066382387	0.3572956167978	0.2911305609809331	0.2703441398824543	0.24849372378671536	0.25978784792675097	0.26536020241746133	0.33088605590422593	0.289479801138124
16S_109	0.2707334056050413	0.27853312519777895	0.3154520075731442	0.2759046418257933	0.0	0.2693144423037202	0.2863641740902967	0.18279282414796166	0.3129691660266289	0.253539032852932	0.40715979369798555	0.3741796074454596	0.3100594783076786	0.2678990506018104	0.3294228082171916	0.3763678920155569	0.14359846164079682	0.29022796181809457	0.31630304349290034	0.158286197836965	0.29866245082104725	0.2795536059684847	0.27329129487325865	0.2486256399140383	0.3233404516101064	0.29330877174770714	0.3929016848925587	0.2760203450750646	0.2900563637024729	0.34997898863413085	0.3276490787840764	0.3037435497342798	0.390182219921629	0.28208383788582	0.26241265702818334	0.3128566586005462	0.37078722006257137	0.30990281416524396	0.32549532261319264	0.339606119260082	0.29196019100387594	0.24573470500327327	0.34288671946037524	0.4329987136561983	0.3456553742292321	0.30936311760895324	0.30232588321940984	0.35890819989109934	0.26335728803268865	0.3110463828916283	0.287865685299324	0.30231634331358814	0.23708782672327514	0.287822392441114	0.27955986179203374	0.27835128340290505	0.3013298076024401	0.43105053244086816	0.39322210677830044	0.353429702174933	0.3170650608503014	0.349513241224336	0.3227780816366803	0.3372164082300237	0.36465683352724043	0.2889407075802247	0.2936296528016683	0.29291251452358513	0.3533948986981947	0.2909583591447187	0.30461747506637527	0.29805056687459736	0.3050280814086483	0.2613133534336376	0.2338545146781205	0.35379039819721836	0.26431263871230015	0.29050458706332666	0.26145550342022145	0.27944743168422265	0.22349410036765274	0.3233612450656904	0.20841642412718117	0.24664178028824219	0.32874880465872486	0.29161348547624305	0.31394328008778055	0.2854218678953251	0.29433399335881577	0.346204913517779	0.30500575149468373
16S_110	0.210144950342989	0.1670381370470352	0.18627242724019888	0.2804227187296824	0.2693144423037202	0.0	0.15421722244618807	0.27864085016724843	0.2924530357775409	0.3135178786256806	0.32331599551168844	0.2913760738517034	0.30394081668935685	0.18375127095205387	0.31677028082720476	0.2946895565023184	0.3089739075123557	0.17531863368190598	0.30677316227798734	0.30456875696166885	0.27639716965319455	0.24576552069133456	0.2660053658178015	0.13568578343218543	0.33835918483012417	0.17911224544774165	0.3795085146518005	0.27103582802796594	0.13606373174518066	0.36608347670377417	0.17381075584336692	0.1948339132769497	0.3959322275508078	0.2921727167039388	0.19121021636246768	0.3299325336389197	0.29937713332005295	0.22633999450006426	0.24528920856227732	0.25023215485686395	0.22084155043887363	0.3138076559917932	0.2577381630280638	0.4118046428712006	0.37421224022965177	0.28589093126458026	0.2985800790147394	0.2856939497990491	0.32826048890481624	0.1743632211777998	0.2564680592542634	0.2025566570846499	0.2773918110320223	0.26019403790223405	0.326472201544479	0.27445995960058234	0.20015984648471982	0.4186500736068552	0.39172066651061216	0.3740228978856666	0.3266157218880135	0.35074520164344547	0.33183068725237624	0.3620870410626235	0.3758707936601325	0.24330636452804758	0.2576727185754914	0.27167145879527466	0.31211769238173137	0.25797081436920527	0.26967009837769	0.28104922595390325	0.28076648837377755	0.19762115666872762	0.2910131576695784	0.31514628968699415	0.28723391618183286	0.28281886924767213	0.33351323521000437	0.3024262823963402	0.27310556037895284	0.221905592184084	0.3019398021325844	0.36242777667776965	0.28407222867258286	0.2874694705574409	0.32687361151781535	0.24059539720782694	0.3213386863554173	0.3216734391069068	0.31768869845000364
16S_111	0.22583324935976426	0.17761372612657775	0.18015684351485103	0.27248423465094235	0.2863641740902967	0.15421722244618807	0.0	0.3251212967264477	0.31218148002093243	0.29956476486072553	0.3215281266344178	0.3076618389179004	0.32222542071356036	0.18392972037322625	0.31307822208515446	0.29221482530560994	0.3281213341143416	0.16596753516766552	0.3103901177085014	0.33430935730774913	0.2976305151953497	0.22553165166123662	0.2749351951249213	0.18683315524821173	0.33830663692670854	0.17333984648346842	0.3640717189324427	0.2951954837872874	0.16879081082038716	0.34625229870868457	0.1592238131715881	0.1607802956314207	0.38581212487434696	0.29306389563228785	0.19852338625938515	0.3155410220853606	0.3150886425810769	0.2151225417117809	0.26100691944868276	0.2623796582082722	0.18269849058472087	0.3485617809174159	0.2584548187402736	0.4003806726197712	0.3513897944482077	0.28318281026978154	0.31905858734863585	0.2855360833111699	0.36253715673484765	0.17179963174809487	0.26648002126980036	0.21120312745318964	0.27811456556262354	0.28550175469848804	0.3287328347390335	0.30104527384103524	0.20388521538244123	0.4079017781530539	0.3826500957331046	0.36618617756383987	0.3319011394718745	0.3415156222345291	0.3214113125648999	0.34686806092555345	0.36033567483098666	0.2715692100164313	0.26253290448523753	0.278820017471077	0.2982688969568976	0.2774969330039293	0.29623175856888145	0.2676151324487772	0.3038050059145696	0.1977130600711457	0.31334662085124076	0.3437097235922753	0.3385197811100188	0.3094061147759155	0.34117857170841487	0.3594556235997669	0.30445523315748524	0.24960703696105557	0.3324632292440736	0.3531537463182722	0.312978591366119	0.28706233852160074	0.3130271437296599	0.24524141872187757	0.3063385204442211	0.3126411040606076	0.3121486553242915
16S_112	0.27213957678572026	0.30051594304457796	0.34878520692711285	0.2636581114923801	0.18279282414796166	0.27864085016724843	0.3251212967264477	0.0	0.29361431687456974	0.26846589902391343	0.38116061097638715	0.3483612832912977	0.2855258696814224	0.287445899887203	0.30799097679077914	0.4088334133705861	0.19657686390525042	0.3186494855075106	0.29326888380082317	0.18545643331790948	0.2791859616863084	0.286213525312494	0.2676620256146826	0.24778660331811125	0.301453167384616	0.30929210760728	0.3946266430980027	0.2400275840402507	0.29133995168865173	0.3374185599663507	0.3611959334905873	0.32927642993944056	0.3713038273637074	0.2682960745707716	0.2702347000293181	0.3136067128267907	0.3398154707259061	0.326048739615404	0.3324801593773635	0.33389374114276704	0.32681573806279185	0.1995193389577718	0.357397739903228	0.43077693357319957	0.33131943960537563	0.33064643151368805	0.28661170982304146	0.388979742122975	0.22373622140262864	0.34192784573692	0.30208710359417823	0.3243259931432786	0.2476929551991731	0.25865026657697976	0.2552771488292079	0.253151161835214	0.31546899969750763	0.4230321386171159	0.38106681548069654	0.33469760480041316	0.3033008833969059	0.3539410546136683	0.3146567936602392	0.3132916698549403	0.3507724585562013	0.2784424192345783	0.29554892840304536	0.27086155430518016	0.3674786820781179	0.2653160044371356	0.3010948421946435	0.3111409500976885	0.29024895144749685	0.2767415601527243	0.19618518118082576	0.313577777938973	0.2135842018921859	0.26585198100672797	0.21464845545075187	0.20629848306898294	0.21508960915359865	0.31888373126802405	0.1597823348387275	0.31739672227127236	0.3176974141273222	0.28865098699837144	0.3036377323223649	0.2824952736012835	0.2862347065529369	0.3572314525919996	0.31273328401043055
16S_113	0.27012967881746186	0.25403155961828255	0.3119182337749234	0.22255225372107965	0.3129691660266289	0.2924530357775409	0.31218148002093243	0.29361431687456974	0.0	0.3530490567953443	0.26853615061719754	0.24069980163613566	0.16972471804047032	0.28344438367606234	0.2221841861915523	0.41425385046880886	0.3462205272353549	0.28117277716834643	0.22381359740679588	0.31980553651926813	0.16262547369550157	0.2621309846339105	0.2045070042413559	0.2534957062303902	0.317678637776821	0.27830102674068036	0.4059405977654959	0.1694335975010425	0.2775847217372861	0.38050355178079914	0.3218536011957864	0.27986590638989134	0.4364815219550219	0.18252934268081022	0.2825406472811742	0.3404859239975688	0.24418532774788793	0.29479472493976666	0.2877428368691338	0.2546738909573984	0.31937399293624386	0.2821935204225968	0.38821958525053235	0.4514731587330519	0.3491520782535343	0.3210888432287908	0.3412142847103736	0.32950126389032913	0.2852857300418499	0.29099018811202965	0.32669338001820514	0.36196430675549995	0.31704777703690673	0.17959108696169415	0.3075001264015861	0.17392650023189832	0.31778436755523953	0.46435765620963904	0.4226114175046936	0.3391672490092786	0.37575009046723595	0.38941067870508017	0.3512804715928327	0.33686852044359356	0.3744122204681157	0.21053500112721268	0.34038220448113266	0.2735100321236515	0.3535720728993738	0.28463331921391927	0.24709670092643285	0.3031843170662202	0.17113807861205413	0.2583022565107305	0.2680803682082325	0.2263705309082285	0.29645440932433903	0.2575484548662924	0.3106694149376164	0.2903911541583703	0.27954051827822435	0.37950372255011333	0.3279942072618316	0.37223776373062645	0.31759388695643187	0.3386570042144279	0.33020592051702985	0.33034004033717995	0.3444536110317654	0.4085233634169294	0.35168580415983103
16S_114	0.3291132982011618	0.330438361178743	0.3210544915960201	0.31572029464491125	0.253539032852932	0.3135178786256806	0.29956476486072553	0.26846589902391343	0.3530490567953443	0.0	0.4483996121346642	0.42576432679053666	0.3405734885908193	0.29441026988041175	0.3801826249372391	0.3231461740559547	0.26768141172966436	0.3234685135673068	0.361463325230472	0.2934271205848386	0.3350374411405492	0.3060811585091846	0.31116752462652436	0.3045122173145481	0.25641127794537805	0.35321682789813624	0.3189295775538561	0.3232363084240913	0.3434670844790674	0.28201592085676325	0.3446770806413326	0.35199361727166856	0.30472500199599695	0.2778967687871006	0.30743424266098207	0.2727260479205912	0.4385649796230678	0.33772695987323137	0.34661873499634227	0.38701533983461994	0.3022145292867469	0.2949846474381198	0.3127174832566885	0.37481579647839214	0.2923127488851548	0.2477571061010978	0.29063159168301633	0.34319418054677253	0.31303039248348224	0.32842953301368605	0.25084056075365047	0.2912222241101204	0.14509107957168474	0.35364734368775624	0.2764466715041105	0.3032870381952326	0.3390223184224266	0.3486366730505475	0.3355803055391637	0.28353256742869837	0.29237540831671505	0.261265631645059	0.27735583457981056	0.2995648991154013	0.2798073808586822	0.361254210322031	0.310148761104	0.3586859586081689	0.30589473204438483	0.3643907540510178	0.3542598449354488	0.22322938941401269	0.3259174599537466	0.29468394976100404	0.3143097860435672	0.4197652681916635	0.3289504703452629	0.3688195008774904	0.2848037351088161	0.3405989096597648	0.28673589177092945	0.35494269854719274	0.2723168858903817	0.28393207440871665	0.35324473991385963	0.26036075597137137	0.27538682405275255	0.30735208306697764	0.2648307556031934	0.30086836433069003	0.2559563962656667
